source,education,ds,question_num,question_type,response
Sonnet 4.5,Edu-High,3,10,Perception,B
Sonnet 4.5,Edu-High,1,1,Perception,B
Sonnet 4.5,Edu-High,4,9,Information,C
Sonnet 4.5,Edu-High,3,4,Information,B
Sonnet 4.5,Edu-High,1,8,Information,D
Sonnet 4.5,Edu-High,3,7,Information,C
Sonnet 4.5,Edu-High,1,5,Information,C
Sonnet 4.5,Edu-High,2,2,Information,B
Sonnet 4.5,Edu-High,1,10,Perception,B
Sonnet 4.5,Edu-High,3,8,Information,B
Sonnet 4.5,Edu-High,1,7,Information,B
Sonnet 4.5,Edu-High,2,6,Information,E
Sonnet 4.5,Edu-High,3,2,Information,B
Sonnet 4.5,Edu-High,4,2,Information,B
Sonnet 4.5,Edu-High,1,4,Information,B
Sonnet 4.5,Edu-High,4,2,Information,B
Sonnet 4.5,Edu-High,4,10,Perception,B
Sonnet 4.5,Edu-High,2,3,Information,B
Sonnet 4.5,Edu-High,3,7,Information,C
Sonnet 4.5,Edu-High,2,7,Information,B
Sonnet 4.5,Edu-High,3,4,Information,B
Sonnet 4.5,Edu-High,1,4,Information,B
Sonnet 4.5,Edu-High,3,5,Information,A
Sonnet 4.5,Edu-High,3,8,Information,D
Sonnet 4.5,Edu-High,1,8,Information,C
Sonnet 4.5,Edu-High,4,5,Information,A
Sonnet 4.5,Edu-High,3,1,Perception,B
Sonnet 4.5,Edu-High,4,1,Perception,B
Sonnet 4.5,Edu-High,2,5,Information,C
Sonnet 4.5,Edu-High,2,7,Information,B
Sonnet 4.5,Edu-High,2,4,Information,B
Sonnet 4.5,Edu-High,2,6,Information,E
Sonnet 4.5,Edu-High,3,3,Information,B
Sonnet 4.5,Edu-High,4,1,Perception,B
Sonnet 4.5,Edu-High,4,10,Perception,B
Sonnet 4.5,Edu-High,1,7,Information,B
Sonnet 4.5,Edu-High,3,6,Information,D
Sonnet 4.5,Edu-High,1,3,Information,A
Sonnet 4.5,Edu-High,2,8,Information,C
Sonnet 4.5,Edu-High,2,1,Perception,B
Sonnet 4.5,Edu-High,4,5,Information,A
Sonnet 4.5,Edu-High,4,3,Information,B
Sonnet 4.5,Edu-High,1,10,Perception,B
Sonnet 4.5,Edu-High,4,4,Information,B
Sonnet 4.5,Edu-High,2,5,Information,C
Sonnet 4.5,Edu-High,1,9,Information,D
Sonnet 4.5,Edu-High,4,6,Information,E
Sonnet 4.5,Edu-High,4,10,Perception,B
Sonnet 4.5,Edu-High,1,7,Information,B
Sonnet 4.5,Edu-High,4,8,Information,B
Sonnet 4.5,Edu-High,2,6,Information,E
Sonnet 4.5,Edu-High,1,8,Information,D
Sonnet 4.5,Edu-High,2,3,Information,B
Sonnet 4.5,Edu-High,2,4,Information,B
Sonnet 4.5,Edu-High,1,6,Information,B
Sonnet 4.5,Edu-High,3,2,Information,B
Sonnet 4.5,Edu-High,1,7,Information,B
Sonnet 4.5,Edu-High,4,5,Information,A
Sonnet 4.5,Edu-High,3,5,Information,A
Sonnet 4.5,Edu-High,2,7,Information,B
Sonnet 4.5,Edu-High,1,10,Perception,B
Sonnet 4.5,Edu-High,2,8,Information,C
Sonnet 4.5,Edu-High,2,8,Information,C
Sonnet 4.5,Edu-High,1,4,Information,B
Sonnet 4.5,Edu-High,3,7,Information,C
Sonnet 4.5,Edu-High,4,7,Information,D
Sonnet 4.5,Edu-High,2,2,Information,B
Sonnet 4.5,Edu-High,1,2,Information,A
Sonnet 4.5,Edu-High,3,4,Information,B
Sonnet 4.5,Edu-High,1,9,Information,D
Sonnet 4.5,Edu-High,4,3,Information,B
Sonnet 4.5,Edu-High,3,9,Information,E
Sonnet 4.5,Edu-High,4,2,Information,B
Sonnet 4.5,Edu-High,3,6,Information,D
Sonnet 4.5,Edu-High,3,10,Perception,B
Sonnet 4.5,Edu-High,3,10,Perception,B
Sonnet 4.5,Edu-High,2,5,Information,C
Sonnet 4.5,Edu-High,4,6,Information,E
Sonnet 4.5,Edu-High,1,5,Information,C
Sonnet 4.5,Edu-High,4,9,Information,C
Sonnet 4.5,Edu-High,4,10,Perception,B
Sonnet 4.5,Edu-High,3,3,Information,B
Sonnet 4.5,Edu-High,4,1,Perception,B
Sonnet 4.5,Edu-High,2,1,Perception,B
Sonnet 4.5,Edu-High,1,10,Perception,B
Sonnet 4.5,Edu-High,2,5,Information,C
Sonnet 4.5,Edu-High,4,4,Information,B
Sonnet 4.5,Edu-High,1,4,Information,B
Sonnet 4.5,Edu-High,1,1,Perception,B
Sonnet 4.5,Edu-High,2,2,Information,B
Sonnet 4.5,Edu-High,4,5,Information,A
Sonnet 4.5,Edu-High,4,8,Information,B
Sonnet 4.5,Edu-High,1,4,Information,B
Sonnet 4.5,Edu-High,2,3,Information,B
Sonnet 4.5,Edu-High,1,8,Information,D
Sonnet 4.5,Edu-High,1,6,Information,B
Sonnet 4.5,Edu-High,2,10,Perception,B
Sonnet 4.5,Edu-High,2,7,Information,B
Sonnet 4.5,Edu-High,1,1,Perception,B
Sonnet 4.5,Edu-High,1,7,Information,B
Sonnet 4.5,Edu-High,3,3,Information,B
Sonnet 4.5,Edu-High,1,3,Information,A
Sonnet 4.5,Edu-High,2,6,Information,E
Sonnet 4.5,Edu-High,3,6,Information,D
Sonnet 4.5,Edu-High,3,5,Information,A
Sonnet 4.5,Edu-High,4,1,Perception,B
Sonnet 4.5,Edu-High,2,10,Perception,B
Sonnet 4.5,Edu-High,2,8,Information,C
Sonnet 4.5,Edu-High,3,2,Information,B
Sonnet 4.5,Edu-High,2,1,Perception,B
Sonnet 4.5,Edu-High,3,10,Perception,B
Sonnet 4.5,Edu-High,4,1,Perception,B
Sonnet 4.5,Edu-High,4,7,Information,D
Sonnet 4.5,Edu-High,4,6,Information,E
Sonnet 4.5,Edu-High,3,5,Information,A
Sonnet 4.5,Edu-High,4,10,Perception,B
Sonnet 4.5,Edu-High,3,4,Information,B
Sonnet 4.5,Edu-High,2,10,Perception,B
Sonnet 4.5,Edu-High,2,4,Information,B
Sonnet 4.5,Edu-High,3,8,Information,D
Sonnet 4.5,Edu-High,4,2,Information,B
Sonnet 4.5,Edu-High,4,4,Information,B
Sonnet 4.5,Edu-High,1,6,Information,B
Sonnet 4.5,Edu-High,4,8,Information,B
Sonnet 4.5,Edu-High,1,1,Perception,B
Sonnet 4.5,Edu-High,1,5,Information,C
Sonnet 4.5,Edu-High,1,10,Perception,B
Sonnet 4.5,Edu-High,2,3,Information,B
Sonnet 4.5,Edu-High,3,8,Information,D
Sonnet 4.5,Edu-High,1,7,Information,B
Sonnet 4.5,Edu-High,3,1,Perception,B
Sonnet 4.5,Edu-High,1,3,Information,A
Sonnet 4.5,Edu-High,1,9,Information,D
Sonnet 4.5,Edu-High,2,5,Information,C
Sonnet 4.5,Edu-High,3,1,Perception,B
Sonnet 4.5,Edu-High,2,4,Information,B
Sonnet 4.5,Edu-High,3,10,Perception,C
Sonnet 4.5,Edu-High,1,2,Information,B
Sonnet 4.5,Edu-High,2,7,Information,B
Sonnet 4.5,Edu-High,4,7,Information,C
Sonnet 4.5,Edu-High,2,2,Information,B
Sonnet 4.5,Edu-High,3,1,Perception,B
Sonnet 4.5,Edu-High,4,3,Information,B
Sonnet 4.5,Edu-High,1,8,Information,C
Sonnet 4.5,Edu-High,2,1,Perception,B
Sonnet 4.5,Edu-High,2,10,Perception,B
Sonnet 4.5,Edu-High,3,2,Information,B
Sonnet 4.5,Edu-High,3,3,Information,B
Sonnet 4.5,Edu-High,4,3,Information,B
Sonnet 4.5,Edu-High,2,8,Information,C
Sonnet 4.5,Edu-High,2,6,Information,E
Sonnet 4.5,Edu-High,3,6,Information,D
Sonnet 4.5,Edu-High,3,7,Information,C
Sonnet 4.5,Edu-High,3,7,Information,C
Sonnet 4.5,Edu-High,4,5,Information,A
Sonnet 4.5,Edu-High,3,8,Information,B
Sonnet 4.5,Edu-High,3,10,Perception,B
Sonnet 4.5,Edu-High,4,7,Information,D
Sonnet 4.5,Edu-High,1,5,Information,C
Sonnet 4.5,Edu-High,4,2,Information,B
Sonnet 4.5,Edu-High,3,5,Information,A
Sonnet 4.5,Edu-High,3,4,Information,B
Sonnet 4.5,Edu-High,4,7,Information,C
Sonnet 4.5,Edu-High,1,5,Information,C
Sonnet 4.5,Edu-High,4,5,Information,A
Sonnet 4.5,Edu-High,1,3,Information,A
Sonnet 4.5,Edu-High,3,1,Perception,B
Sonnet 4.5,Edu-High,1,3,Information,A
Sonnet 4.5,Edu-High,1,4,Information,B
Sonnet 4.5,Edu-High,4,10,Perception,B
Sonnet 4.5,Edu-High,1,10,Perception,B
Sonnet 4.5,Edu-High,4,6,Information,E
Sonnet 4.5,Edu-High,1,1,Perception,B
Sonnet 4.5,Edu-High,2,5,Information,C
Sonnet 4.5,Edu-High,3,4,Information,B
Sonnet 4.5,Edu-High,4,4,Information,B
Sonnet 4.5,Edu-High,2,6,Information,E
Sonnet 4.5,Edu-High,3,2,Information,B
Sonnet 4.5,Edu-High,4,1,Perception,B
Sonnet 4.5,Edu-High,1,2,Information,A
Sonnet 4.5,Edu-High,1,4,Information,B
Sonnet 4.5,Edu-High,3,5,Information,A
Sonnet 4.5,Edu-High,2,7,Information,B
Sonnet 4.5,Edu-High,2,10,Perception,B
Sonnet 4.5,Edu-High,2,3,Information,B
Sonnet 4.5,Edu-High,3,3,Information,B
Sonnet 4.5,Edu-High,3,1,Perception,B
Sonnet 4.5,Edu-High,4,9,Information,C
Sonnet 4.5,Edu-High,4,7,Information,C
Sonnet 4.5,Edu-High,4,1,Perception,B
Sonnet 4.5,Edu-High,3,7,Information,C
Sonnet 4.5,Edu-High,3,10,Perception,B
Sonnet 4.5,Edu-High,2,8,Information,C
Sonnet 4.5,Edu-High,1,2,Information,B
Sonnet 4.5,Edu-High,4,5,Information,A
Sonnet 4.5,Edu-High,4,10,Perception,B
Sonnet 4.5,Edu-High,3,8,Information,D
Sonnet 4.5,Edu-High,4,6,Information,E
Sonnet 4.5,Edu-High,2,4,Information,B
Sonnet 4.5,Edu-High,1,6,Information,B
Sonnet 4.5,Edu-High,1,1,Perception,B
Sonnet 4.5,Edu-High,2,2,Information,B
Sonnet 4.5,Edu-High,4,8,Information,B
Sonnet 4.5,Edu-High,1,2,Information,B
Sonnet 4.5,Edu-High,1,7,Information,B
Sonnet 4.5,Edu-High,2,4,Information,B
Sonnet 4.5,Edu-High,2,3,Information,B
Sonnet 4.5,Edu-High,1,4,Information,B
Sonnet 4.5,Edu-High,1,8,Information,C
Sonnet 4.5,Edu-High,1,10,Perception,B
Sonnet 4.5,Edu-High,1,8,Information,D
Sonnet 4.5,Edu-High,4,8,Information,B
Sonnet 4.5,Edu-High,2,1,Perception,B
Sonnet 4.5,Edu-High,1,7,Information,B
Sonnet 4.5,Edu-High,1,6,Information,B
Sonnet 4.5,Edu-High,2,8,Information,C
Sonnet 4.5,Edu-High,3,10,Perception,C
Sonnet 4.5,Edu-High,3,3,Information,B
Sonnet 4.5,Edu-High,3,7,Information,C
Sonnet 4.5,Edu-High,3,2,Information,B
Sonnet 4.5,Edu-High,1,2,Information,A
Sonnet 4.5,Edu-High,4,5,Information,A
Sonnet 4.5,Edu-High,1,5,Information,C
Sonnet 4.5,Edu-High,2,1,Perception,B
Sonnet 4.5,Edu-High,2,6,Information,E
Sonnet 4.5,Edu-High,4,3,Information,B
Sonnet 4.5,Edu-High,3,1,Perception,B
Sonnet 4.5,Edu-High,2,2,Information,B
Sonnet 4.5,Edu-High,3,6,Information,D
Sonnet 4.5,Edu-High,4,3,Information,B
Sonnet 4.5,Edu-High,3,4,Information,B
Sonnet 4.5,Edu-High,3,6,Information,D
Sonnet 4.5,Edu-High,3,8,Information,D
Sonnet 4.5,Edu-High,4,6,Information,E
Sonnet 4.5,Edu-High,4,4,Information,B
Sonnet 4.5,Edu-High,2,7,Information,B
Sonnet 4.5,Edu-High,4,2,Information,B
Sonnet 4.5,Edu-High,1,3,Information,A
Sonnet 4.5,Edu-High,4,9,Information,C
Sonnet 4.5,Edu-High,4,10,Perception,B
Sonnet 4.5,Edu-High,4,1,Perception,B
Sonnet 4.5,Edu-High,2,3,Information,B
Sonnet 4.5,Edu-High,1,2,Information,B
Sonnet 4.5,Edu-High,4,8,Information,B
Sonnet 4.5,Edu-High,2,10,Perception,B
Sonnet 4.5,Edu-High,1,7,Information,B
Sonnet 4.5,Edu-High,3,5,Information,A
Sonnet 4.5,Edu-High,2,1,Perception,B
Sonnet 4.5,Edu-High,3,1,Perception,B
Sonnet 4.5,Edu-High,1,3,Information,A
Sonnet 4.5,Edu-High,1,6,Information,B
Sonnet 4.5,Edu-High,2,7,Information,B
Sonnet 4.5,Edu-High,1,9,Information,D
Sonnet 4.5,Edu-High,3,3,Information,B
Sonnet 4.5,Edu-High,2,4,Information,B
Sonnet 4.5,Edu-High,3,5,Information,A
Sonnet 4.5,Edu-High,4,2,Information,B
Sonnet 4.5,Edu-High,4,5,Information,A
Sonnet 4.5,Edu-High,4,2,Information,B
Sonnet 4.5,Edu-High,3,4,Information,B
Sonnet 4.5,Edu-High,1,8,Information,D
Sonnet 4.5,Edu-High,3,2,Information,B
Sonnet 4.5,Edu-High,1,10,Perception,B
Sonnet 4.5,Edu-High,3,6,Information,D
Sonnet 4.5,Edu-High,4,3,Information,B
Sonnet 4.5,Edu-High,2,10,Perception,B
Sonnet 4.5,Edu-High,1,10,Perception,B
Sonnet 4.5,Edu-High,1,1,Perception,B
Sonnet 4.5,Edu-High,4,7,Information,D
Sonnet 4.5,Edu-High,1,5,Information,C
Sonnet 4.5,Edu-High,1,7,Information,B
Sonnet 4.5,Edu-High,4,4,Information,B
Sonnet 4.5,Edu-High,1,8,Information,C
Sonnet 4.5,Edu-High,1,4,Information,B
Sonnet 4.5,Edu-High,2,5,Information,C
Sonnet 4.5,Edu-High,2,4,Information,B
Sonnet 4.5,Edu-High,3,10,Perception,B
Sonnet 4.5,Edu-High,3,2,Information,B
Sonnet 4.5,Edu-High,4,6,Information,E
Sonnet 4.5,Edu-High,4,10,Perception,B
Sonnet 4.5,Edu-High,1,4,Information,B
Sonnet 4.5,Edu-High,1,1,Perception,B
Sonnet 4.5,Edu-High,1,6,Information,B
Sonnet 4.5,Edu-High,2,6,Information,E
Sonnet 4.5,Edu-High,2,1,Perception,B
Sonnet 4.5,Edu-High,4,2,Information,B
Sonnet 4.5,Edu-High,3,5,Information,A
Sonnet 4.5,Edu-High,4,1,Perception,B
Sonnet 4.5,Edu-High,3,10,Perception,B
Sonnet 4.5,Edu-High,3,6,Information,D
Sonnet 4.5,Edu-High,2,7,Information,B
Sonnet 4.5,Edu-High,3,7,Information,C
Sonnet 4.5,Edu-High,4,9,Information,C
Sonnet 4.5,Edu-High,1,2,Information,A
Sonnet 4.5,Edu-High,2,2,Information,B
Sonnet 4.5,Edu-High,2,6,Information,E
Sonnet 4.5,Edu-High,4,7,Information,C
Sonnet 4.5,Edu-High,4,1,Perception,B
Sonnet 4.5,Edu-High,2,8,Information,C
Sonnet 4.5,Edu-High,1,2,Information,A
Sonnet 4.5,Edu-High,4,4,Information,B
Sonnet 4.5,Edu-High,3,8,Information,D
Sonnet 4.5,Edu-High,4,6,Information,E
Sonnet 4.5,Edu-High,1,8,Information,C
Sonnet 4.5,Edu-High,2,8,Information,C
Sonnet 4.5,Edu-High,3,6,Information,D
Sonnet 4.5,Edu-High,2,5,Information,C
Sonnet 4.5,Edu-High,1,4,Information,B
Sonnet 4.5,Edu-High,1,5,Information,C
Sonnet 4.5,Edu-High,4,8,Information,B
Sonnet 4.5,Edu-High,4,10,Perception,B
Sonnet 4.5,Edu-High,1,6,Information,B
Sonnet 4.5,Edu-High,2,2,Information,B
Sonnet 4.5,Edu-High,3,4,Information,B
Sonnet 4.5,Edu-High,3,8,Information,B
Sonnet 4.5,Edu-High,4,5,Information,A
Sonnet 4.5,Edu-High,3,7,Information,C
Sonnet 4.5,Edu-High,2,10,Perception,B
Sonnet 4.5,Edu-High,2,5,Information,C
Sonnet 4.5,Edu-High,4,1,Perception,B
Sonnet 4.5,Edu-High,4,4,Information,B
Sonnet 4.5,Edu-High,1,7,Information,B
Sonnet 4.5,Edu-High,3,1,Perception,B
Sonnet 4.5,Edu-High,2,6,Information,E
Sonnet 4.5,Edu-High,2,8,Information,C
Sonnet 4.5,Edu-High,4,6,Information,E
Sonnet 4.5,Edu-High,3,4,Information,B
Sonnet 4.5,Edu-High,4,2,Information,B
Sonnet 4.5,Edu-High,2,7,Information,B
Sonnet 4.5,Edu-High,3,1,Perception,B
Sonnet 4.5,Edu-High,4,5,Information,A
Sonnet 4.5,Edu-High,1,5,Information,C
Sonnet 4.5,Edu-High,4,7,Information,C
Sonnet 4.5,Edu-High,1,10,Perception,B
Sonnet 4.5,Edu-High,1,8,Information,C
Sonnet 4.5,Edu-High,4,3,Information,B
Sonnet 4.5,Edu-High,2,10,Perception,B
Sonnet 4.5,Edu-High,2,7,Information,B
Sonnet 4.5,Edu-High,1,6,Information,B
Sonnet 4.5,Edu-High,2,3,Information,B
Sonnet 4.5,Edu-High,3,3,Information,B
Sonnet 4.5,Edu-High,4,8,Information,B
Sonnet 4.5,Edu-High,1,2,Information,B
Sonnet 4.5,Edu-High,3,8,Information,B
Sonnet 4.5,Edu-High,1,10,Perception,B
Sonnet 4.5,Edu-High,2,5,Information,C
Sonnet 4.5,Edu-High,2,6,Information,E
Sonnet 4.5,Edu-High,3,10,Perception,B
Sonnet 4.5,Edu-High,2,1,Perception,B
Sonnet 4.5,Edu-High,1,4,Information,B
Sonnet 4.5,Edu-High,4,8,Information,B
Sonnet 4.5,Edu-High,3,2,Information,B
Sonnet 4.5,Edu-High,3,1,Perception,B
Sonnet 4.5,Edu-High,3,4,Information,B
Sonnet 4.5,Edu-High,2,10,Perception,B
Sonnet 4.5,Edu-High,1,7,Information,B
Sonnet 4.5,Edu-High,2,8,Information,C
Sonnet 4.5,Edu-High,1,3,Information,A
Sonnet 4.5,Edu-High,2,4,Information,B
Sonnet 4.5,Edu-High,1,5,Information,C
Sonnet 4.5,Edu-High,3,5,Information,A
Sonnet 4.5,Edu-High,3,2,Information,B
Sonnet 4.5,Edu-High,2,3,Information,B
Sonnet 4.5,Edu-High,4,2,Information,B
Sonnet 4.5,Edu-High,4,3,Information,B
Sonnet 4.5,Edu-High,2,1,Perception,B
Sonnet 4.5,Edu-High,4,3,Information,B
Sonnet 4.5,Edu-High,4,5,Information,A
Sonnet 4.5,Edu-High,3,7,Information,C
Sonnet 4.5,Edu-High,1,3,Information,A
Sonnet 4.5,Edu-High,4,8,Information,B
Sonnet 4.5,Edu-High,4,9,Information,C
Sonnet 4.5,Edu-High,2,2,Information,B
Sonnet 4.5,Edu-High,3,6,Information,D
Sonnet 4.5,Edu-High,1,1,Perception,B
Sonnet 4.5,Edu-High,2,2,Information,B
Sonnet 4.5,Edu-High,3,7,Information,C
Sonnet 4.5,Edu-High,4,7,Information,C
Sonnet 4.5,Edu-High,2,3,Information,B
Sonnet 4.5,Edu-High,2,8,Information,C
Sonnet 4.5,Edu-High,1,10,Perception,B
Sonnet 4.5,Edu-High,1,2,Information,B
Sonnet 4.5,Edu-High,1,5,Information,C
Sonnet 4.5,Edu-High,1,6,Information,B
Sonnet 4.5,Edu-High,3,8,Information,B
Sonnet 4.5,Edu-High,2,6,Information,E
Sonnet 4.5,Edu-High,4,4,Information,B
Sonnet 4.5,Edu-High,1,4,Information,B
Sonnet 4.5,Edu-High,3,4,Information,B
Sonnet 4.5,Edu-High,3,8,Information,D
Sonnet 4.5,Edu-High,1,8,Information,D
Sonnet 4.5,Edu-High,3,10,Perception,B
Sonnet 4.5,Edu-High,3,3,Information,B
Sonnet 4.5,Edu-High,2,10,Perception,B
Sonnet 4.5,Edu-High,4,3,Information,B
Sonnet 4.5,Edu-High,3,1,Perception,B
Sonnet 4.5,Edu-High,3,10,Perception,B
Sonnet 4.5,Edu-High,3,2,Information,B
